id,name,height,weight,base_experience,order,is_default,location_area_encounters,abilities,types,moves,stats,held_items,cries,forms,game_indices,sprites,species,past_abilities,past_types
11,metapod,7,99,72,15,True,https://pokeapi.co/api/v2/pokemon/11/encounters,shed-skin,bug,"string-shot, harden, iron-defense, bug-bite, electroweb","{""hp"": 50, ""attack"": 20, ""defense"": 55, ""special-attack"": 25, ""special-defense"": 25, ""speed"": 30}",,"{""latest"": ""https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/11.ogg"", ""legacy"": ""https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/legacy/11.ogg""}",metapod,"124, 124, 124, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png,metapod,[],[]
12,butterfree,11,320,178,16,True,https://pokeapi.co/api/v2/pokemon/12/encounters,"compound-eyes, tinted-lens","bug, flying","razor-wind, gust, whirlwind, headbutt, tackle","{""hp"": 60, ""attack"": 45, ""defense"": 50, ""special-attack"": 90, ""special-defense"": 80, ""speed"": 70}",silver-powder,"{""latest"": ""https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/12.ogg"", ""legacy"": ""https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/legacy/12.ogg""}",butterfree,"125, 125, 125, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png,butterfree,"[{""abilities"": [{""ability"": null, ""is_hidden"": true, ""slot"": 3}], ""generation"": {""name"": ""generation-iv"", ""url"": ""https://pokeapi.co/api/v2/generation/4/""}}]",[]
13,weedle,3,32,39,17,True,https://pokeapi.co/api/v2/pokemon/13/encounters,"shield-dust, run-away","bug, poison","poison-sting, string-shot, bug-bite, electroweb","{""hp"": 40, ""attack"": 35, ""defense"": 30, ""special-attack"": 20, ""special-defense"": 20, ""speed"": 50}",,"{""latest"": ""https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/13.ogg"", ""legacy"": ""https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/legacy/13.ogg""}",weedle,"112, 112, 112, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png,weedle,"[{""abilities"": [{""ability"": null, ""is_hidden"": true, ""slot"": 3}], ""generation"": {""name"": ""generation-iv"", ""url"": ""https://pokeapi.co/api/v2/generation/4/""}}]",[]
14,kakuna,6,100,72,18,True,https://pokeapi.co/api/v2/pokemon/14/encounters,shed-skin,"bug, poison","string-shot, harden, iron-defense, bug-bite, electroweb","{""hp"": 45, ""attack"": 25, ""defense"": 50, ""special-attack"": 25, ""special-defense"": 25, ""speed"": 35}",,"{""latest"": ""https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/14.ogg"", ""legacy"": ""https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/legacy/14.ogg""}",kakuna,"113, 113, 113, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png,kakuna,[],[]
15,beedrill,10,295,178,19,True,https://pokeapi.co/api/v2/pokemon/15/encounters,"swarm, sniper","bug, poison","swords-dance, cut, headbutt, fury-attack, take-down","{""hp"": 65, ""attack"": 90, ""defense"": 40, ""special-attack"": 45, ""special-defense"": 80, ""speed"": 75}",poison-barb,"{""latest"": ""https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/15.ogg"", ""legacy"": ""https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/legacy/15.ogg""}",beedrill,"114, 114, 114, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png,beedrill,"[{""abilities"": [{""ability"": null, ""is_hidden"": true, ""slot"": 3}], ""generation"": {""name"": ""generation-iv"", ""url"": ""https://pokeapi.co/api/v2/generation/4/""}}]",[]
16,pidgey,3,18,50,21,True,https://pokeapi.co/api/v2/pokemon/16/encounters,"keen-eye, tangled-feet, big-pecks","normal, flying","razor-wind, gust, wing-attack, whirlwind, fly","{""hp"": 40, ""attack"": 45, ""defense"": 40, ""special-attack"": 35, ""special-defense"": 35, ""speed"": 56}",,"{""latest"": ""https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/16.ogg"", ""legacy"": ""https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/legacy/16.ogg""}",pidgey,"36, 36, 36, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png,pidgey,"[{""abilities"": [{""ability"": null, ""is_hidden"": false, ""slot"": 2}], ""generation"": {""name"": ""generation-iii"", ""url"": ""https://pokeapi.co/api/v2/generation/3/""}}, {""abilities"": [{""ability"": null, ""is_hidden"": true, ""slot"": 3}], ""generation"": {""name"": ""generation-iv"", ""url"": ""https://pokeapi.co/api/v2/generation/4/""}}]",[]
17,pidgeotto,11,300,122,22,True,https://pokeapi.co/api/v2/pokemon/17/encounters,"keen-eye, tangled-feet, big-pecks","normal, flying","razor-wind, gust, wing-attack, whirlwind, fly","{""hp"": 63, ""attack"": 60, ""defense"": 55, ""special-attack"": 50, ""special-defense"": 50, ""speed"": 71}",,"{""latest"": ""https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/17.ogg"", ""legacy"": ""https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/legacy/17.ogg""}",pidgeotto,"150, 150, 150, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png,pidgeotto,"[{""abilities"": [{""ability"": null, ""is_hidden"": false, ""slot"": 2}], ""generation"": {""name"": ""generation-iii"", ""url"": ""https://pokeapi.co/api/v2/generation/3/""}}, {""abilities"": [{""ability"": null, ""is_hidden"": true, ""slot"": 3}], ""generation"": {""name"": ""generation-iv"", ""url"": ""https://pokeapi.co/api/v2/generation/4/""}}]",[]
18,pidgeot,15,395,216,23,True,https://pokeapi.co/api/v2/pokemon/18/encounters,"keen-eye, tangled-feet, big-pecks","normal, flying","razor-wind, gust, wing-attack, whirlwind, fly","{""hp"": 83, ""attack"": 80, ""defense"": 75, ""special-attack"": 70, ""special-defense"": 70, ""speed"": 101}",,"{""latest"": ""https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/18.ogg"", ""legacy"": ""https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/legacy/18.ogg""}",pidgeot,"151, 151, 151, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png,pidgeot,"[{""abilities"": [{""ability"": null, ""is_hidden"": false, ""slot"": 2}], ""generation"": {""name"": ""generation-iii"", ""url"": ""https://pokeapi.co/api/v2/generation/3/""}}, {""abilities"": [{""ability"": null, ""is_hidden"": true, ""slot"": 3}], ""generation"": {""name"": ""generation-iv"", ""url"": ""https://pokeapi.co/api/v2/generation/4/""}}]",[]
19,rattata,3,35,51,25,True,https://pokeapi.co/api/v2/pokemon/19/encounters,"run-away, guts, hustle",normal,"cut, headbutt, tackle, body-slam, take-down","{""hp"": 30, ""attack"": 56, ""defense"": 35, ""special-attack"": 25, ""special-defense"": 35, ""speed"": 72}",chilan-berry,"{""latest"": ""https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/19.ogg"", ""legacy"": ""https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/legacy/19.ogg""}",rattata,"165, 165, 165, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png,rattata,"[{""abilities"": [{""ability"": null, ""is_hidden"": true, ""slot"": 3}], ""generation"": {""name"": ""generation-iv"", ""url"": ""https://pokeapi.co/api/v2/generation/4/""}}]",[]
20,raticate,7,185,145,27,True,https://pokeapi.co/api/v2/pokemon/20/encounters,"run-away, guts, hustle",normal,"swords-dance, cut, headbutt, tackle, body-slam","{""hp"": 55, ""attack"": 81, ""defense"": 60, ""special-attack"": 50, ""special-defense"": 70, ""speed"": 97}","oran-berry, sitrus-berry, chilan-berry","{""latest"": ""https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/20.ogg"", ""legacy"": ""https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/legacy/20.ogg""}",raticate,"166, 166, 166, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png,raticate,"[{""abilities"": [{""ability"": null, ""is_hidden"": true, ""slot"": 3}], ""generation"": {""name"": ""generation-iv"", ""url"": ""https://pokeapi.co/api/v2/generation/4/""}}]",[]
21,spearow,3,20,52,30,True,https://pokeapi.co/api/v2/pokemon/21/encounters,"keen-eye, sniper","normal, flying","razor-wind, wing-attack, whirlwind, fly, headbutt","{""hp"": 40, ""attack"": 60, ""defense"": 30, ""special-attack"": 31, ""special-defense"": 31, ""speed"": 70}",sharp-beak,"{""latest"": ""https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/21.ogg"", ""legacy"": ""https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/legacy/21.ogg""}",spearow,"5, 5, 5, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png,spearow,"[{""abilities"": [{""ability"": null, ""is_hidden"": true, ""slot"": 3}], ""generation"": {""name"": ""generation-iv"", ""url"": ""https://pokeapi.co/api/v2/generation/4/""}}]",[]
22,fearow,12,380,155,31,True,https://pokeapi.co/api/v2/pokemon/22/encounters,"keen-eye, sniper","normal, flying","razor-wind, wing-attack, whirlwind, fly, headbutt","{""hp"": 65, ""attack"": 90, ""defense"": 65, ""special-attack"": 61, ""special-defense"": 61, ""speed"": 100}",sharp-beak,"{""latest"": ""https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/22.ogg"", ""legacy"": ""https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/legacy/22.ogg""}",fearow,"35, 35, 35, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png,fearow,"[{""abilities"": [{""ability"": null, ""is_hidden"": true, ""slot"": 3}], ""generation"": {""name"": ""generation-iv"", ""url"": ""https://pokeapi.co/api/v2/generation/4/""}}]",[]
23,ekans,20,69,58,32,True,https://pokeapi.co/api/v2/pokemon/23/encounters,"intimidate, shed-skin, unnerve",poison,"bind, slam, headbutt, body-slam, wrap","{""hp"": 35, ""attack"": 60, ""defense"": 44, ""special-attack"": 40, ""special-defense"": 54, ""speed"": 55}",,"{""latest"": ""https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/23.ogg"", ""legacy"": ""https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/legacy/23.ogg""}",ekans,"108, 108, 108, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.png,ekans,"[{""abilities"": [{""ability"": null, ""is_hidden"": true, ""slot"": 3}], ""generation"": {""name"": ""generation-iv"", ""url"": ""https://pokeapi.co/api/v2/generation/4/""}}]",[]
24,arbok,35,650,157,33,True,https://pokeapi.co/api/v2/pokemon/24/encounters,"intimidate, shed-skin, unnerve",poison,"bind, slam, headbutt, body-slam, wrap","{""hp"": 60, ""attack"": 95, ""defense"": 69, ""special-attack"": 65, ""special-defense"": 79, ""speed"": 80}",poison-barb,"{""latest"": ""https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/24.ogg"", ""legacy"": ""https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/legacy/24.ogg""}",arbok,"45, 45, 45, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png,arbok,"[{""abilities"": [{""ability"": null, ""is_hidden"": true, ""slot"": 3}], ""generation"": {""name"": ""generation-iv"", ""url"": ""https://pokeapi.co/api/v2/generation/4/""}}]",[]
25,pikachu,4,60,112,35,True,https://pokeapi.co/api/v2/pokemon/25/encounters,"static, lightning-rod",electric,"mega-punch, pay-day, thunder-punch, slam, double-kick","{""hp"": 35, ""attack"": 55, ""defense"": 40, ""special-attack"": 50, ""special-defense"": 50, ""speed"": 90}","oran-berry, light-ball","{""latest"": ""https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/25.ogg"", ""legacy"": ""https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/legacy/25.ogg""}",pikachu,"84, 84, 84, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png,pikachu,"[{""abilities"": [{""ability"": null, ""is_hidden"": true, ""slot"": 3}], ""generation"": {""name"": ""generation-iv"", ""url"": ""https://pokeapi.co/api/v2/generation/4/""}}]",[]
26,raichu,8,300,218,51,True,https://pokeapi.co/api/v2/pokemon/26/encounters,"static, lightning-rod",electric,"mega-punch, pay-day, thunder-punch, slam, mega-kick","{""hp"": 60, ""attack"": 90, ""defense"": 55, ""special-attack"": 90, ""special-defense"": 80, ""speed"": 110}",oran-berry,"{""latest"": ""https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/26.ogg"", ""legacy"": ""https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/legacy/26.ogg""}",raichu,"85, 85, 85, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/26.png,raichu,"[{""abilities"": [{""ability"": null, ""is_hidden"": true, ""slot"": 3}], ""generation"": {""name"": ""generation-iv"", ""url"": ""https://pokeapi.co/api/v2/generation/4/""}}]",[]
27,sandshrew,6,120,60,53,True,https://pokeapi.co/api/v2/pokemon/27/encounters,"sand-veil, sand-rush",ground,"scratch, swords-dance, cut, sand-attack, headbutt","{""hp"": 50, ""attack"": 75, ""defense"": 85, ""special-attack"": 20, ""special-defense"": 30, ""speed"": 40}","quick-claw, grip-claw","{""latest"": ""https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/27.ogg"", ""legacy"": ""https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/legacy/27.ogg""}",sandshrew,"96, 96, 96, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/27.png,sandshrew,"[{""abilities"": [{""ability"": null, ""is_hidden"": true, ""slot"": 3}], ""generation"": {""name"": ""generation-iv"", ""url"": ""https://pokeapi.co/api/v2/generation/4/""}}]",[]
28,sandslash,10,295,158,55,True,https://pokeapi.co/api/v2/pokemon/28/encounters,"sand-veil, sand-rush",ground,"scratch, swords-dance, cut, sand-attack, headbutt","{""hp"": 75, ""attack"": 100, ""defense"": 110, ""special-attack"": 45, ""special-defense"": 55, ""speed"": 65}","quick-claw, soft-sand, grip-claw","{""latest"": ""https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/28.ogg"", ""legacy"": ""https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/legacy/28.ogg""}",sandslash,"97, 97, 97, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/28.png,sandslash,"[{""abilities"": [{""ability"": null, ""is_hidden"": true, ""slot"": 3}], ""generation"": {""name"": ""generation-iv"", ""url"": ""https://pokeapi.co/api/v2/generation/4/""}}]",[]
29,nidoran-f,4,70,55,57,True,https://pokeapi.co/api/v2/pokemon/29/encounters,"poison-point, rivalry, hustle",poison,"scratch, cut, double-kick, headbutt, tackle","{""hp"": 55, ""attack"": 47, ""defense"": 52, ""special-attack"": 40, ""special-defense"": 40, ""speed"": 41}",,"{""latest"": ""https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/29.ogg"", ""legacy"": ""https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/legacy/29.ogg""}",nidoran-f,"15, 15, 15, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/29.png,nidoran-f,"[{""abilities"": [{""ability"": null, ""is_hidden"": false, ""slot"": 2}], ""generation"": {""name"": ""generation-iii"", ""url"": ""https://pokeapi.co/api/v2/generation/3/""}}, {""abilities"": [{""ability"": null, ""is_hidden"": true, ""slot"": 3}], ""generation"": {""name"": ""generation-iv"", ""url"": ""https://pokeapi.co/api/v2/generation/4/""}}]",[]
